months,price,usd/vnd,usd/thb
268,309,"15,996.00",41.655
269,308,"16,006.00",41.278
270,314,"16,014.00",41.045
271,319,"16,050.00",40.78
272,321,"16,070.00",41.245
273,301,"16,070.00",41.025
274,319,"16,056.00",38.93
275,318,"16,050.00",39.11
276,307,"16,001.00",38.875
277,302,"16,015.00",37.53
278,312,"16,048.00",38.155
279,320,"16,089.00",38.12
280,323,"16,131.00",37.86
281,327,"16,140.00",37.58
282,324,"16,240.00",37.565
283,325,"16,080.00",36.688
284,331,"16,069.00",35.895
285,335,"16,040.00",35.45
286,320,"16,028.00",34.75
287,334,"15,970.00",34.025
288,332,"15,930.50",32.325
289,337,"16,110.00",32.85
290,349,"16,122.00",32.9
291,368,"16,246.00",31.7
292,384,"16,842.00",29.95
293,474,"16,765.00",32.535
294,615,"16,525.00",31.9
295,929,"16,600.00",31.675
296,949,"16,900.00",30.7
297,789,"16,972.00",30.05
298,756,"17,483.00",31.3
299,551,"17,484.50",31.075
300,709,"17,480.50",31.47
301,701,"17,786.00",31.655
302,634,"17,783.00",32.489
303,574,"17,775.00",33.43
304,548,"17,773.00",33.52
305,598,"17,813.50",34.225
306,615,"17,819.00",33.855
307,615,"17,840.50",35.05
308,572,"17,940.00",35.47
309,547,"18,385.00",34.785
310,592,"18,474.00",34.965
311,602,"18,474.00",36.175
312,609,"19,050.00",35.495
313,550,"19,090.00",35.28
314,546,"18,975.00",34.31
315,513,"18,875.00",34.06
316,558,"19,080.00",34.025
317,608,"19,075.00",34.02
318,596,"19,495.00",33.44
319,576,"19,475.00",33.455
320,538,"19,490.00",33.24
321,502,"19,499.00",33.36
322,478,"19,497.50",33.175
323,463,"19,497.50",33.055
324,466,"20,877.50",32.35
325,533,"20,895.00",32.345
326,472,"20,645.00",32.52
327,494,"20,545.00",32.415
328,501,"20,585.00",32.24
329,534,"20,595.00",31.27
330,550,"20,832.00",30.35
331,534,"20,829.50",29.94
332,540,"21,005.50",30.185
333,509,"21,005.50",30.065
334,500,"21,033.50",30.905
335,498,"21,018.00",30.595
336,531,"20,835.00",30.255
337,557,"20,850.00",29.865
338,518,"20,865.00",30.315
339,576,"20,847.50",30.71
340,614,"20,870.00",29.775
341,615,"20,928.50",29.95
342,626,"20,905.00",31.195
343,600,"20,885.00",30.715
344,557,"20,870.00",30.895
345,554,"20,862.50",31.565
346,563,"20,840.00",30.985
347,559,"20,831.50",30.455
348,614,"20,885.00",30.85
349,612,"20,990.00",30.745
350,587,"20,850.00",31.865
351,590,"20,932.00",31.565
352,579,"20,850.00",31.52
353,579,"20,855.00",31.34
354,571,"20,840.00",30.83
355,573,"20,789.00",30.7
356,569,"20,840.00",30.715
357,575,"20,795.50",30.6
358,575,"20,955.00",29.82
359,573,"20,861.00",29.785
360,571,"20,950.00",29.29
361,558,"20,840.00",29.275
362,536,"21,013.00",30.42
363,519,"21,205.00",31.14
364,565,"21,175.00",31.355
365,493,"21,155.00",32.14
366,461,"21,112.50",31.24
367,445,"21,100.00",31.165
368,433,"21,120.00",32.055
369,428,"21,095.00",32.7
370,418,"21,060.00",33.025
371,423,"21,100.00",32.525
372,416,"21,097.50",32.425
373,401,"21,082.50",32.355
374,399,"21,157.50",32.83
375,405,"21,330.00",32.435
376,421,"21,217.50",32.19
377,429,"21,195.00",31.94
378,447,"21,220.00",32.43
379,449,"21,280.00",32.6
380,446,"21,352.50",32.86
381,434,"21,387.50",32.91
382,424,"21,317.00",32.73
383,423,"21,347.50",32.36
384,421,"21,555.00",32.54
385,413,"21,590.00",33.02
386,408,"21,815.00",33.7
387,393,"21,839.50",33.8
388,383,"21,818.00",35
389,396,"22,481.50",35.83
390,420,"22,519.00",36.37
391,382,"22,335.50",35.6
392,366,"22,505.00",35.8
393,373,"22,485.00",36.03
394,371,"22,241.00",35.72
395,365,"22,351.50",35.635
396,371,"22,325.00",35.11
397,381,"22,288.00",34.9
398,379,"22,382.00",35.77
399,385,"22,322.50",35.12
400,410,"22,299.50",34.77
401,418,"22,305.00",34.63
402,431,"22,295.50",34.59
403,386,"22,315.00",35.03
404,409,"22,660.00",35.71
405,388,"22,771.00",35.85
406,373,"22,592.50",35.09
407,367,"22,755.00",34.94
408,380,"22,755.00",34.35
409,382,"22,743.50",34.59
410,376,"22,715.00",34.04
411,377,"22,725.00",33.93
412,384,"22,726.50",33.3
413,414,"22,727.50",33.18
414,455,"22,730.00",33.33
415,424,"22,710.00",33.23
416,394,"22,717.50",32.65
417,406,"22,710.00",32.56
418,413,"22,710.00",31.35
419,403,"22,757.00",31.49
420,404,"22,794.00",31.18
421,410,"22,763.50",31.555
422,433,"22,806.00",32.06
423,422,"22,958.50",33.03
424,413,"23,251.00",33.364
